x	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_2B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_2B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_1B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_2B_NO20	MP_E52_1B_DY20	MP_E258_2B_NO20	MP_E54_2B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_2B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_2B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_2B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_2B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_2B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_1B_NO20	MP_E259_1B_NO20	MP_E53_2B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_2B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
ASV_31	75	65	387	326	222	211	291	56	14	138	100	261	173	11	129	133	47	179	22	70	182	19	228	31	35	153	13	287	103	336	280	85	219	138	101	32	48	67	14	400	71	91	119	103	326	190	111	140	956	223	73	276	204	472	185	285	39	70	91	89	53	34	72	42	289	101	25	209	222	187	124	145	76	49	1308	191	12	27	26	192	34	268	49	34
ASV_32	0	20	28	40	4	0	161	151	31	74	230	284	225	115	52	0	218	821	45	1760	535	3119	20	99	914	280	114	113	56	44	65	73	118	119	20	146	193	123	135	216	222	257	0	0	10	7	0	0	6	0	33	29	422	24	204	60	21	420	110	271	85	94	0	3	0	1	11	10	10	85	3	17	0	30	38	51	0	0	0	0	0	0	0	0
ASV_33	0	0	0	41	0	6	26	164	65	109	240	78	261	0	334	151	306	217	156	142	606	157	551	2013	228	50	38	23	17	20	0	82	210	38	97	45	24	82	209	99	99	120	35	21	22	28	0	25	402	241	122	132	440	291	362	219	291	40	187	118	135	439	379	180	290	448	225	67	113	158	11	27	0	96	104	37	108	75	33	6	20	76	18	17
ASV_34	0	235	85	214	23	22	97	373	0	135	40	322	14	0	21	91	101	6	12	60	350	552	1760	119	101	368	202	108	49	20	43	7	247	680	126	362	307	170	431	1182	571	507	36	91	76	47	40	42	30	105	22	188	78	141	14	63	8	77	39	0	28	22	7	7	262	0	3	147	21	95	0	64	140	26	377	340	74	40	46	94	11	36	0	15
ASV_35	25	127	33	205	82	16	37	115	92	209	309	126	170	30	97	302	187	118	39	191	609	198	451	111	336	107	0	213	51	62	80	0	50	14	0	7	6	59	11	45	4	7	119	91	255	136	19	43	517	248	81	243	743	458	179	308	50	127	228	95	32	84	215	115	292	84	66	655	107	801	20	50	15	176	128	10	13	4	0	0	43	132	28	46
ASV_36	41	271	211	532	59	89	97	26	0	383	0	215	88	0	11	379	22	106	15	76	1528	45	251	14	0	218	0	133	389	644	464	18	203	0	7	10	7	278	32	564	31	31	212	49	84	73	115	0	280	141	43	282	60	217	91	536	17	22	0	80	26	66	299	34	179	34	6	395	22	410	0	6	0	24	0	0	18	15	6	4	0	13	0	14
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	175	246	336	69	94	138	148	69	20	36	44	159	59	33	37	231	20	41	0	25	421	70	919	0	2	56	0	75	13	0	0	4	58	15	0	0	1	15	8	15	0	0	0	45	55	35	203	11	1354	244	49	142	128	2111	81	179	45	100	23	32	25	6	346	130	295	146	333	954	118	114	15	51	0	74	109	0	0	0	0	13	2	15	0	0
ASV_39	554	212	255	357	0	1195	5199	0	6	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	63	280	0	966	34	2	0	0	503	0	149	0	0	0	0	0	0	242	0	397	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	0	0	2	0	0	0	0
ASV_40	0	0	0	0	0	0	0	92	0	0	0	260	124	0	0	0	0	163	99	0	191	0	298	32	4	0	0	0	280	1181	2315	337	241	0	2885	531	37	57	70	14	69	23	0	0	0	0	0	0	0	9	0	0	0	30	570	7	0	0	0	0	294	30	43	12	106	11	219	0	52	0	0	0	0	21	5	0	30	22	7	4	2	0	0	11
