"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
Eukaryota;Haptophyta;Zygodiscales__c;Zygodiscales;Braarudosphaeraceae;Braarudosphaera;Braarudosphaera bigelowii	Braarudosphaera bigelowii	6.31	0.7	2.22	0.59		4.47	0.2	0.1				0.14	0.03		0.08	0.13						0.22					0.58		0.11	0.34	0.03		0.06	0.63	0.09													2.36					0.01			0.05			0.01																										
	<<<Jakobida__c__p>>>																																																																																					
Eukaryota;Jakobida__c__p;Jakobida__c;Jakobida;Andaluciidae;Andalucia;Andalucia godoyi	Andalucia godoyi								0.03							0.14	0.17		0.16							0.03			0.05						0.03		0.29											0.04									0.14					0.14		0.16	0.35			0.67	0.83										0.3		0.09		0.47			0.04
Eukaryota;Jakobida__c__p;Jakobida__c;Jakobida;Histionidae;Reclinomonas;Reclinomonas americana	Reclinomonas americana							0.03	0.02			0.07		0.03														0.07																											0.12																															
Eukaryota;Jakobida__c__p;Jakobida__c;Jakobida;Jakobidae;Jakoba;Jakoba bahamiensis	Jakoba bahamiensis						0.3	0.18				0.1			0.08																																								0.12												0.09		0.41			0.27														
Eukaryota;Jakobida__c__p;Jakobida__c;Jakobida;NA;NA;NA	Jakobida	1.55	1.31	1.27	1.75		1.28			0.31	0.06	0.13	0.07	0.03	0.1	0.11			0.13	0.68		0.15	0.11	0.02	0.35	2.52	0.11	0.13	0.02		2.25	1.21	0.69	1.56	0.1	0.1	0.38			0.59	0.1	0.3			0.19			0.08	0.82	0.69		0.13	0.41	0.11	0.16	0.37	0.09	0.22	0.08	0.08	0.05	0.18	0.09			0.66	0.28	0.81	1.76				0.35	0.31	0.05	3.16	0.05	0.02	1.85	1.98	0.48	0.21	0.87	1.21	5.9	0.24
Eukaryota;Jakobida__c__p;Jakobida__c;Jakobida;Seculamonas__f;Seculamonas;Seculamonas ecuadoriensis	Seculamonas ecuadoriensis	1.75	0.36	0.32	0.59	4.95	0.24		0.89	0.77	0.27	1.04	0.16	0.75	0.18	0.57	0.77	0.63	0.82	0.28	0.16	0.26	0.98	0.14	0.23	2.02	0.3	0.4			1.69	1.35	1.86	0.85	1.39	0.04			0.24	0.49	0.5		0.38	0.48	0.45		1.04	0.6	0.34	10.54		0.67	0.48	0.26	1.23		1.08	0.43		0.14	0.77	1.01	0.2	0.2			0.52		0.62	0.53	1.56	0.93	0.3	0.54	0.19		0.36	0.08	1.11	1.42	0.44	0.83	1.9	1.1	1.97	1.17
Eukaryota;Jakobida__c__p;Jakobida__c;NA;NA;NA;NA	Jakobida__c					0.57										0.38	0.02	0.04																											0.09			0.08		0.76									0.44								0.09						0.09	0.44	0.09				0.15	0.4	0.13	0.17	0.32	0.33	0.61	0.24
	<<<Malawimonadida__c__p>>>																																																																																					
Eukaryota;Malawimonadida__c__p;Malawimonadida__c;Malawimonadida;Malawimonadidae;Malawimonas;Malawimonas jakobiformis	Malawimonas jakobiformis																																																																																				0.37	
	<<<Mollusca>>>																																																																																					
Eukaryota;Mollusca;Gastropoda;Heterobranchia__o;NA;NA;NA	Heterobranchia__o																												0.13																																																									
	<<<Mucoromycota>>>																																																																																					
Eukaryota;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;NA;NA	Glomeraceae																														0.36	0.53	0.25			0.37		0.07		0.98		1.05							0.02			0.03											0.07				0.09			1		0.44	0.17			0.51			0.3				0.08		0.12	0.28
	<<<Unknown Eukaryote>>>																																																																																					
Eukaryota;NA;NA;NA;NA;NA;NA	Eukaryota	5.36	8.56	11.54	9.26	5.9	7.22	16.03	6.93	14.32	13.85	12.59	14.28	27.31	13.43	5.85	15.06	8.62	37.46	49.52	32.62	24.25	14.75	19.06	1.5	2.5	15.08	8.93	3.56	13.96	50.62	52.39	47.83	30.24	29.44	14.05	15.77	18.67	11.46	33.74	16.74	13.36	13.61	13.94	3.35	20.46	9.05	10.38	11.17	12.15	29	21.11	12.31	20.05	10.46	20.75	24.77	37.96	6.78	14.68	16.76	23.81	39.95	18.21	20.89	10.97	10.38	19.03	11.78	14.84	9.71	12.15	9.32	9.21	3.42	9.55	14.81	7.13	6.65	3.72	6.76	9.29	9.96	9.82	14.62	11.25
	<<<Oomycota>>>																																																																																					
Eukaryota;Oomycota;Albuginales__c;Albuginales;NA;NA;NA	Albuginales				0.17			0.06									0.04		0.03			0.26	0.12	0.09		0.03	0.62				0.27	0.07						0.31	0.42			0.24	0.17	0.37											0.08					0.04							0.18				0.24															
Eukaryota;Oomycota;Peronosporales__c;NA;NA;NA;NA	Peronosporales__c																																																																													0.1								
Eukaryota;Oomycota;Peronosporales__c;Peronosporales;NA;NA;NA	Peronosporales	0.65	1.34	1.72	0.87		1.51	0.13	0.33	0.37	0.43	0.29	0.23	1.2	0.61	0.63	0.02	0.39	1.89	0.32	0.07	0.89	1.79	0.21	0.66	0.8	0.58				0.18	0.25	0.49			0.08	0.41	0.1	0.38	0.33	0.72	0.33	0.69	0.6		0.29			0.77	2.14	1.16			0.26	0.25	0.11	0.86	0.17	0.26	0.46	0.27	0.65	0.58	0.27	0.53	0.99	0.21	0.67	1.86		2.88				0.16	0.21			1.48	1.19	0.44		2.92	0.66	2.21	1.57
Eukaryota;Oomycota;Peronosporales__c;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora agathidicida	Phytophthora agathidicida		0.15		0.18		0.74	0.06		0.06	0.02	0.1	0.07								0.05									0.05																			0.11							0.2			0.03													0.16														
Eukaryota;Oomycota;Pythiales__c;Pythiales;NA;NA;NA	Pythiales																			0.08											0.14		0.23							0.03		0.02													0.08																					0.05										
Eukaryota;Oomycota;Pythiales__c;Pythiales;Pythiaceae;Globisporangium;Globisporangium ultimum	Globisporangium ultimum	0.2		0.07			0.11		0.07				0.06	0.06							0.02		0.36					0.2	0.02									0.02											0.02																				0.1																	
	<<<Pelagophyceae__p>>>																																																																																					
Eukaryota;Pelagophyceae__p;Pelagophyceae;Pelagomonadales;Aureococcus__f;Aureococcus;Aureococcus anophagefferens	Aureococcus anophagefferens	0.2	0.3	0.07	0.7	2.67	4.12	0.34	1.04	3.32		0.52	0.7	2.08	0.11	6.01	0.15	3.87	1.35	0.16	0.05	0.48	3.47	0.47	1.12			3.1	0.31	2.96	0.14	0.59	0.19	0.08	0.51	12.87	3.42	12.8	5.36	1.69	4.19	12.02	16.38	14.21			0.35	0.48	0.19	4.81	0.23	2.73	4.3	0.02	0.9	0.26	0.99	0.03	8.34	0.03	1.31	2.14	0.36	0.06		0.26	0.64		0.1	4.18	3.36	6.97						4.4	3.84	0.4		0.21	0.32	0.66	0.74	0.6
Eukaryota;Pelagophyceae__p;Pelagophyceae;Pelagomonadales;Aureococcus__f;NA;NA	Aureococcus__f																																																																													0.04								
Eukaryota;Pelagophyceae__p;Pelagophyceae;Pelagomonadales;NA;NA;NA	Pelagomonadales	0.5	0.42	0.22	0.33		0.41	0.07		0.06	0.09		0.04		0.04	0.03		0.02					0.03	0.17						0.06				0.16	0.05				0.07		0.02	0.02	0.03				0.14		0.14	0.15				0.08	0.12	0.11			0.21	0.04					0.06						0.12						0.15									
Eukaryota;Pelagophyceae__p;Pelagophyceae;Pelagomonadales;Pelagomonas__f;NA;NA	Pelagomonas__f	0.43	1.34	1.47	1.44		1.72	4.13	0.14	0.37	0.11	1.4	0.7	0.26	0.07	0.52	0.06	0.82	0.22		0.07	0.67	0.73	3.53	0.45	6.1	1.48	0.31	0.56	1.08	0.81	0.28	0.27	1.72	2.12	1.39	0.54	0.18	0.04	2.23	0.79	1.08	0.5	0.54	0.02	0.86	0.48		1.32			0.21	0.37	0.08	2.21	0.11	0.27	0.06		0.36	0.9	0.11		0.06			0.18											0.48								
Eukaryota;Pelagophyceae__p;Pelagophyceae;Pelagomonadales;Pelagomonas__f;Pelagomonas;NA	Pelagomonas	0.4		0.07	0.03	3.62		0.94	0.38	4.35	0.25	10.08	0.97		0.19	2.2	0.13	5.61			0.16			0.24		1.55	1.72		0.65											0.03							0.48	0.44	0.14		0.58	0.53	4.38	0.39	12.5	2.6	0.45	0.22	2.21	0.26	9.35	0.25	0.09	0.21	0.06						1.44															
Eukaryota;Pelagophyceae__p;Pelagophyceae;Pelagomonadales;Pelagomonas__f;Pelagomonas;Pelagomonas calceolata	Pelagomonas calceolata				0.06			0.06		0.06						0.27		0.11				0.06		0.06		0.14	0.49																				0.35	0.12													0.05																									
Eukaryota;Pelagophyceae__p;Pelagophyceae;Sarcinochrysidales;NA;NA;NA	Sarcinochrysidales									0.06																																																																												
Eukaryota;Pelagophyceae__p;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Ankylochrysis;Ankylochrysis sp_ RCC2491	Ankylochrysis sp_ RCC2491																														0.38	0.35	1.28	0.06	0.2	0.05				0.13																																														
Eukaryota;Pelagophyceae__p;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Ankylochrysis;NA	Ankylochrysis																																				0.32																																																	
Eukaryota;Pelagophyceae__p;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;NA;NA	Sarcinochrysidaceae										0.04																	0.21																																																										
	<<<Phaeophyceae__p>>>																																																																																					
Eukaryota;Phaeophyceae__p;Phaeophyceae;Ectocarpales;Ectocarpaceae;Ectocarpus;Ectocarpus siliculosus	Ectocarpus siliculosus																																																2.66																																					
Eukaryota;Phaeophyceae__p;Phaeophyceae;Laminariales;Laminariaceae;Saccharina;Saccharina japonica	Saccharina japonica													0.03					0.06					0.05	0.35																			0.03								0.29			0.08	0.06	0.14			0.28	0.27	0.29				0.13	0.58					0.05														
	<<<Prasinodermophyta>>>																																																																																					
Eukaryota;Prasinodermophyta;Prasinodermophyceae;Prasinodermales;Prasinodermaceae;NA;NA	Prasinodermaceae	1.53	0.97	0.27	2.72		0.41		0.39	0.6			0.03	0.23		0.35			0.16									0.03																					0.69				0.56				0.27		0.1																											
	<<<Rhodophyta>>>																																																																																					
Eukaryota;Rhodophyta;Bangiophyceae;Porphyridiales;NA;NA;NA	Porphyridiales																																																						0.08																															
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;NA;NA;NA	Ceramiales	0.1	0.18	0.1	0.18													0.04										0.03																									0.15							0.01																										
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;NA;NA	Rhodomelaceae	0.48	0.42	0.97	0.57		0.86	0.25		0.09	0.15		0.07			0.24		0.05						0.03							0.27	0.36	0.41	1.36	0.73	0.02	0.19	0.18		0.42	0.07	0.39	0.18	0.19					0.35			0.11		0.1		0.74		0.04	0.34	0.11											0.12	0.22				0.05		0.04		0.16						
Eukaryota;Rhodophyta;Florideophyceae;Gelidiales;Gelidiaceae;Gelidium;Gelidium isabelae	Gelidium isabelae																					0.09		0.09																																																														
Eukaryota;Rhodophyta;Florideophyceae;Gracilariales;Gracilariaceae;Hydropuntia;Hydropuntia rangiferina	Hydropuntia rangiferina																																															0.24																																						
Eukaryota;Rhodophyta;Florideophyceae;Hildenbrandiales;NA;NA;NA	Hildenbrandiales																															0.06																																																						
	<<<Streptophyta>>>																																																																																					
Eukaryota;Streptophyta;Bryopsida;NA;NA;NA;NA	Bryopsida													0.13					0.09																	0.18	0.16				0.07																0.05																					0.12								
Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Silene;Silene dioica	Silene dioica																																														1.04	0.52										0.06																			0.21									
	<<<Synurophyceae__p>>>																																																																																					
Eukaryota;Synurophyceae__p;Synurophyceae;Synurales;Mallomonadaceae;NA;NA	Mallomonadaceae				0.19		0.01					0.13		0.06			0.11				0.09				0.02			0.1		0.1						0.02				0.03								0.04		0.61		0.48										0.22										0.05														
Eukaryota;Synurophyceae__p;Synurophyceae;Synurales;Mallomonadaceae;Synura;Synura uvella	Synura uvella																		0.35				0.04		0.14																0.2									0.38			0.04									0.36		0.07		0.53	0.55			0.29	0.36						0.62		1.4	0.79	0.39		0.87			0.77
	<<<Telonemida__c__p>>>																																																																																					
Eukaryota;Telonemida__c__p;Telonemida__c;NA;NA;NA;NA	Telonemida__c			0.05				0.14	0.05		0.14	0.03	0.06	0.06	0.16		0.17					0.39	0.07	0.1																																				0.19					0.29																					
Eukaryota;Telonemida__c__p;Telonemida__c;Telonemida;NA;NA;NA	Telonemida	0.95	0.33	0.05	0.15		0.75	0.18	1.74	0.26	0.39	0.46	1.94	0.06	2.13	0.19	0.55	0.29	0.31			1.58	2.26	0.46	5.58	0.57	3.48	2.24	0.23	0.88	0.16	0.08		0.03	0.05		0.1		0.07	0.07	0.02	0.17	0.08	0.11			0.14	0.48	0.51			0.11	0.3	0.42	0.41	0.14	0.05	0.6	0.13	2.34						0.39	3.5		0.52	1.18	0.72	0.05	0.04		0.03	0.08										
	<<<Crenarchaeota>>>																																																																																					
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;NA	Candidatus Nitrosopumilus					0.16				3.63	1.07	0.11	0.03	0.42	0.18	1.47	3.61	0.41	0.13	1.14	1.13			0.1	0.11	0.11	0.03		0.09							0.03	0.24				0.03			0.01	0.12	0.37	0.16	0.5		2.74	2.14	0.62	4.07	1.04	0.13	0.16	0.54	2.7	2.21	0.46	0.77	0.34	1.24	1.34	1.71	0.59	0.18	0.48	5.05	0.05	0.86		0.74	0.9	0.43	0.59	0.62	0.2	1.36	1.11	2.08	0.72	2.98	3.07	4.35	5.02
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA;NA	Nitrosopumilaceae																0.03																																																																					
	<<<Nanoarchaeota>>>																																																																																					
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;GW2011_GWC1_47_15;NA;NA	GW2011_GWC1_47_15																																																												0.02																									
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;NA;NA;NA	Woesearchaeales									0.09		0.03		0.14				0.01	0.04							0.02																				0.03		0.02		0.12	0.04	0.03	0.21	0.03			0.05				0.08	0.34				0.19	0.05	0.41	0.19		0.03		0.06	0.01		0.05		0.01	0.02	0.02			0.09		0.02	0.07
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;SCGC AAA011_D5;NA;NA	SCGC AAA011_D5																																																		0.03										0.02				0.02				0.01																	
	<<<Thermoplasmatota>>>																																																																																					
Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;NA;NA;NA	Marine Group II	0.09			0.02	2.81		2.09	0.39	1.92	0.46	0.53	0.3	3.29	0.05	2.66	1.87	4.46	4.24	6.61	0.65	3.53	0.47	2.65	0.89	6.22	1.56	0.62	7.5	1.08				0.39	0.21	1.5	0.94	0.55	2.88	0.32	2.36	1.11	2.37	2.71	1.45	2.07	2.05	1.82		1.35	2.23	2.59	2.51	1.48	1.01	1.28	3.08	1.09	2.85	0.04	4.69	4.12	4.82	0.3	1.69	5.86	0.93	5.66	2.26	2.33	6.14	0.7	0.54	0.52	0.46	4.57	0.39	0.3	0.77	0.85	0.64	0.75	0.87	0.94	2.71	1.78
	<<<Acidobacteriota>>>																																																																																					
Bacteria;Acidobacteriota;Subgroup 22;NA;NA;NA;NA	Subgroup 22													0.01																																																																								
Bacteria;Acidobacteriota;Subgroup 26;NA;NA;NA;NA	Subgroup 26													0.03																																																																								
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 23;NA	Subgroup 23																																																																																	0.01				
	<<<Actinobacteriota>>>																																																																																					
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;NA	Candidatus Actinomarina									0.17	0.15	0.25	0.07	0.43	0.05	0.1	0.36	0.4	0.42	0.28	0.56	0.63	0.12	0.38	0.05	0.25	0.17	0.44	1.25	0.2						0.05		0.02			0.13		0.06	0.06	0.02			0.01			0.22		0.18	0.32	0.45	0.22	0.45	0.24	0.07	0.04	0.32	0.25	0.58	0.63	0.31	0.14		0.1	0.47	0.06	0.35							0.04						0.02	0.02	0.02
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;NA	Ilumatobacter				0.08		0.05			0.15	0.17	0.15	0.1	0.28		0.11		0.12	0.11			0.17		0.2	0.42			0.15	0.15	0.1					0.07	0.2		0.06		0.04	0.14			0.04		0.13		0.12			0.43	0.3	0.2		0.22		0.18				0.3	0.15	0.12		0.15	0.23	0.36	0.16	0.12	0.23	0.29		0.19	0.1	0.17	0.23		0.39	0.33	0.31	0.08	0.17	0.09		0.1	0.13
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;NA	Sva0996 marine group				0.16	0.05			0.43	0.5		0.6	0.04	0.49		0.19		0.52	0.37	0.15	0.06	0.18	0.17	0.36	0.16		0.05		0.27	0.31						0.3	0.19	0.08			0.43	0.06	0.05	0.03	0.02	0.08		0.07	0.19	0.25	0.06	0.21	0.25		0.73	0.09	0.45		0.22		0.79	0.37	0.37	0.15	0.06	0.35	0.06	0.15	0.26	0.36	0.48	0.41	0.58	0.48	0.46	0.67	0.33	0.25	0.53	0.47	0.24	0.44	0.31	0.83	0.45	0.72
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Aquiluna;NA	Candidatus Aquiluna		0.12						0.13				0.41	0.2			0.05					0.33		0.24	0.5	0.36		0.47	0.32	0.48	1.07	0.76	1.54	0.62	0.97	1.28	0.65	1.25	1.77		0.9	1.12	0.94	1.07						0.02		0.14			0.1									0.22	0.14	0.08	0.23	0.06	0.15	0.49	0.4	0.25			0.04				0.08	0.1	0.06	0.06	0.02	0.03	0.1	
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;ML602J_51;NA	ML602J_51	0.46	1.31	0.76	0.93		0.37			0.21		0.33	0.24	0.32		0.21		0.31		0.17	0.32	0.39	0.34	0.47	0.09	0.47	0.45	0.67	0.5					0.09			0.1		0.1			0.05		0.04					0.65	0.02					0.3				0.25		0.23	0.24	0.16	0.22			0.15	0.19	0.08		0.37							0.09	0.1	0.08	0.04				0.07	0.04
Bacteria;Actinobacteriota;Actinobacteria;PeM15;NA;NA;NA	PeM15																							0.04																																																														
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;NA;NA	Propionibacteriaceae																																																													0.02																								
	<<<Bacteroidota>>>																																																																																					
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes BD2_2;NA;NA	Bacteroidetes BD2_2																																				0.02										0.02									0.02						0.01					0.04	0.03															0.01			0.02
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Marinifilum;NA	Marinifilum					0.05						0.04						0.01																														0.01		0.1							0.03				0.05			0.01		0.03										0.02									0.02	
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;NA;NA	Marinifilaceae																0.02		0.04																																	0.01			0.01		0.04					0.03	0.02		0.27	0.39		0.29	0.02								0.08									0.05
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB_5;NA;NA	SB_5																																				0.01																																																	
Bacteria;Bacteroidota;Bacteroidia;Bacteroidetes VC2_1 Bac22;NA;NA;NA	Bacteroidetes VC2_1 Bac22											0.02				0.06	0.1		0.02																											0.04	0.02			0.21	0.07			0.06	0.01	0.05	0.07	0.03	0.05			0.1				0.14	0.05	0.16	0.02						0.02	0.03		0.02	0.02				0.03			
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;NA;NA;NA	Chitinophagales	0.54	1.88	1.85	1.81		2.11	0.56	1.05	0.15	0.07	0.42	0.65	0.19	0.3		0.08	0.21	0.07		0.19	0.06	0.28	0.03	0.09		0.05			0.36	0.04				0.34	0.99		0.14	0.1	0.2	0.08	1.09	0.05	0.08	0.18	0.02		0.05	4.61	0.02		0.25	0.16		0.45	0.5	0.09	0.07	0.05	0.39	0.2	0.11	0.1	0.24	0.07	0.11	0.12	0.14	0.07	0.35	0.12	1.27	0.04	0.01			0.01	0.33	0.08	0.05	0.05					0.01
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Aureispira;NA	Aureispira	0.03				0.51	0.34	0.25		0.09	0.59	0.05	0.1	0.33	0.14	0.09	0.45	0.06	0.62	0.06				0.01	0.02			0.16	0.01	0.79							0.04								0.2	0.1	0.22	0.29		0.29	0.58	0.28	0.1	0.25	0.06	0.08	0.54	0.28	0.06	0.25	0.03	0.49	0.2	0.04	0.12	0.08	0.09	0.56	0.56	0.12	0.37	1.19	0.15		0.04	0.03			D		0.01	0.07	0.08	0.19		0.09
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella;NA	Lewinella					0.02		0.07			0.07	0.12	0.03	0.02	0.09	0.01	0.08				0.02		0.02								0.45	1.14	0.68		0.12	0.08			0.01					0.03	0.06					0.05	0.03	0.02		0.11		0.16		0.01		0.09			0.03	0.03					0.02						0.02		0.05						0.03	0.05		
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;NA;NA	Saprospiraceae		0.19	0.2	0.43	0.12		0.92	4.34	0.5	0.39	1.53	1.66	2.05	0.71	0.06	0.63	0.56	1.58	0.56	1.92	1.88	3.35	1.58	1.53	0.48	0.56	4.14	2.46	2.14	1.2	3.91	2.43	0.05	1.76	3.02	0.84	0.25	0.58	5.14	1.54	1.57	0.7	0.43	1.36	0.1		0.25	0.17		0.25	0.85	0.58	0.37	1.41	1.15	1.77	0.64	0.17	0.64	1.15	1.87	1.14	2.04	1.14	0.69	1.65	0.58	0.39	1.17	0.69	1.6	0.12	0.24	0.15	0.11	0.26	1.33	0.28	0.14	0.29	0.24	0.09	0.11	0.07	0.1
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Portibacter;NA	Portibacter													0.05		0.01																																				0.01					0.12		0.01								0.01																			
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Rubidimonas;NA	Rubidimonas				0.03			0.07			0.04	0.03	0.11	0.04	0.09		0.11	0.02	0.05		0.21	0.01			0.06								0.01																			0.09		0.06		0.63	0.01	0.06		0.04	0.01		0.12	0.13	0.02	0.07	0.12	0.06	0.29		0.38								0.01							
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae;Candidatus Amoebophilus;NA	Candidatus Amoebophilus				0.07						0.04					0.05																				0.04							0.02														0.01											0.01					0.01					0.04								
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae;Candidatus Paenicardinium;NA	Candidatus Paenicardinium			0.04																																																																																		
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fabibacter;NA	Fabibacter									0.05		0.03		0.04		0.05		0.04		0.05				0.05	0.22				0.03								0.12	0.01									0.04								0.03		0.1		0.06		0.05	0.02	0.04		0.04	0.38		0.22	0.02	D	0.09	0.02	0.12			0.33	0.22		0.32	0.41			0.26		0.14	0.25
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;NA	Marinoscillum					0.37	0.51			0.37		0.42	0.24	0.33	0.39	0.55	0.5	0.49	0.74	0.52	1.19	0.5		0.96	0.19	0.68	1.94		0.64								0.28	0.08	0.22				0.23		0.13	1.12	0.48	0.54		0.2	0.38	0.37	0.3		0.5		0.64		0.57	0.24	0.55	0.47	0.38	0.29				0.08	0.19	0.23	0.71		0.74		0.17	0.89	0.32		0.26	0.23	0.46	0.27	0.93		0.4	0.55
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;NA;NA	Cyclobacteriaceae							0.5	0.09	0.02		0.02	0.09	0.32	0.3	0.01	0.03	0.06	0.09									0.12	0.12								0.02									0.04	0.04	0.15		0.1	0.13		0.04			0.1	0.46	0.13	0.07	0.18	0.15	0.3	0.16	0.19	0.07	0.01	0.01	0.06	0.07	0.02	0.69		0.06			0.01		0.09	0.06		0.04	0.06	0.06	0.03		0.06
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Reichenbachiella;NA	Reichenbachiella													0.2					0.1		0.01																0.14																				0.21		0.07			0.19	0.03						0.02	0.06			0.21	0.15		0.16	0.2	0.13	0.1	0.06	0.24	0.24	0.2			0.11
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Taeseokella;NA	Taeseokella																																																			0.05																																		
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Crocinitomix;NA	Crocinitomix	1.14	0.27	0.14	0.39	0.65	0.61	1.01	2.04	1.33	0.54	0.79	0.99	0.82	0.93	1.62	0.13	0.9	0.82	1.35	0.25	1.04	0.55	0.84	1.63	0.06	0.19	0.74	0.45	1.17		0.18	0.05	0.14	0.02	0.16	0.33	D		0.1		0.09			0.41	0.17	0.25	0.57	0.68	1.58		1.34	1.12	0.43	0.78	1.13	0.7		2.07	1.06	1.28	0.76	1.82	0.43	0.19	0.79	2.27	0.98	0.61	1.04	1.66	2.15	0.75	0.71	0.52	0.78	0.53	0.39	0.77	0.96	0.99	0.66	0.96	0.75	1.03	1.01
