"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;Actinocyclus sp_ mgcode 4	Actinocyclus sp_ mgcode 4							0.04		0.06	0.04	0.42		0.03	0.2		0.23				0.05																									0.57								0.07	0.25	0.31		0.07		0.19	0.05		0.02	0.05	0.06					0.06																
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;NA	Actinocyclus								0.03	0.8	0.02	5.95	0.05	0.94	0.9		1.79	0.29	0.22	0.12	0.37		0.16							0.03																						0.29	1.56	0.29	5.43	1.6		0.36		1.24	1.4	0.22	0.4	0.68	1.58	1.25		9.18	15.39			0.11	0.04								0.35					
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;NA;NA;NA	Coscinodiscales											0.29		0.1	0.17		0.11				0.16																																0.04			0.06				0.32	0.18		0.09	0.28	3.74	0.2			0.31																	
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus danicus	Leptocylindrus danicus					8.76		0.48		0.06	0.06				0.02	2.12	0.81				0.48		0.63							0.05	0.23	0.15	0.39	1.13	0.33	0.1	0.41	1.47	1.18	0.11	0.15	0.05		0.11	0.38	7.87	19.27	28.54	0.1	10.16		0.13	0.15	0.19		0.68		2.47	0.62		0.14		0.6	0.27	5.79	0.85	0.58	0.54		0.53	0.6		3.6	1.26	1.79	0.64	0.36	0.19	0.74	2.85	6.36	2.32	1.5	0.55	1.35	1.09
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Stephanopyxidaceae;Stephanopyxis;NA	Stephanopyxis																																																																0.53																					
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Stephanopyxidaceae;Stephanopyxis;Stephanopyxis turris	Stephanopyxis turris																																																									0.07																												
Eukaryota;Bacillariophyta;Coscinodiscophyceae;NA;NA;NA;NA	Coscinodiscophyceae	0.13	0.21		0.27	5.9		0.27		0.11	0.02		0.05	0.06	0.03						0.59		0.05		0.07			0.03			0.14	0.1	0.17	0.75	1.39	0.22	0.61	1.51	2.98	0.24	0.07	0.06	0.3	0.07	9.8	1.43	0.9	0.56		0.99	1.39	0.35							0.16					0.8		0.26	0.61		0.21	0.24	0.24		1.08	0.39	0.69	3.64	0.97	0.42	1.26	4.11	4.12	1.37	1.66	0.77	1.11	3.67
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;NA;NA;NA	Rhizosoleniales					7.43	0.06	0.32			0.02	0.88	0.14			0.98	1.19	0.09			0.43		0.3								0.18	0.22	0.6	0.89	1.47	1.26	0.26	1.37	1.4	0.9	0.05	0.49	0.29	0.68	0.33	4.58	10.43	17.47	0.03	4.13		0.51	0.3	0.11		0.43		1.67	0.55			0.07	0.22	0.87	2.63	0.2	0.52		0.41	0.12			1.99	0.98	1.24	2.62	0.92	0.44	1.11	1.66	5.4	1.37	1.82		0.49	0.56
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;Guinardia;Guinardia delicatula	Guinardia delicatula																		0.22																																											0.33	0.16																							
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;Guinardia;Guinardia striata	Guinardia striata							1.2		0.11	0.1		0.03		0.16								0.34																													0.51		0.13	0.65	0.71		0.04		0.06				0.27								0.6														
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;NA;NA	Rhizosoleniaceae							0.69		0.97	0.09	0.62	0.04		0.16		0.51	0.13		0.12	4.71		1.41					0.03						0.26	0.03	0.55		0.3	0.73		0.32			0.29									2.63	0.2	0.57	0.14		0.49	0.05	0.04	0.27		1.25	7.93	3.34		0.43	0.81	3.93	0.35	0.12					0.43		0.67	3.4	0.32		0.5	1.11		1.23	1.29
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;Proboscia;NA	Proboscia		0.09	0.07		8.95	0.04	0.61		0.4					0.19		0.83	0.05			3.98		0.27								0.92	0.73	0.81	8.41	6.37	2.11	12.26	22.84	29.2	0.47	2.28	0.76	5.65	1.17	73.79	0.72	0.97	0.76	0.18	2.37		1.26	0.48	0.33				0.82						6.52	1.7	0.59	0.21	2.29	0.31	0.18			2.9		1.94	41.31	0.87	2.96	12.56	31.38	44.93	0.21	4.74	0.11	14.37	43.55
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;Proboscia;Proboscia indica	Proboscia indica							0.16																																																																														
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;Rhizosolenia fallax	Rhizosolenia fallax												0.19					0.22											0.48																																			0.47																						
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;Rhizosolenia setigera	Rhizosolenia setigera															0.03			0.79											0.05																											0.23					0.18	1.36																							
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;NA;NA;NA	Thalassiosirales							0.37	0.02	0.82	0.95	0.13	0.08	0.49	0.08	0.03	0.62		0.5	0.81	0.39	0.04	0.31	0.07	0.05			0.18		0.42					0.08	0.13	0.32	0.1	0.09			0.01	0.09	0.12							0.12	0.35	0.41	0.81		0.54	1.99	0.82	0.03	0.1	0.27	1.27	1.59	0.79	0.76		0.37			0.65	0.84		6.85	2.24	0.31	1.23	0.15	0.19			1.58	0.12	2.29		1.23	4.07
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;NA;NA	Skeletonemataceae													0.06																																											0.14					0.14	0.05										1.08	0.28		0.05		0.15			0.22			0.11		0.4
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;NA	Skeletonema																0.04			0.04								0.15								0.06	0.45																																									0.02							0.25	
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema marinoi	Skeletonema marinoi							0.01		0.17	0.61	0.16						0.05	0.31		0.11									0.21																						0.24	0.07	1.11		0.66	0.14	0.42			0.41	0.62	0.29	0.04								0.27														
