sample_name	sample_title	bioproject_accession	organism	collection_date	depth	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	alkalinity	alkalinity_method	alkyl_diethers	altitude	aminopept_act	ammonium	atmospheric_data	bac_prod	bac_resp	bacteria_carb_prod	biomass	bishomohopanol	bromide	calcium	carb_nitro_ratio	chem_administration	chloride	chlorophyll	collection_method	conduc	density	diether_lipids	diss_carb_dioxide	diss_hydrogen	diss_inorg_carb	diss_inorg_nitro	diss_inorg_phosp	diss_org_carb	diss_org_nitro	diss_oxygen	down_par	elev	fluor	glucosidase_act	isolation_source	light_intensity	magnesium	mean_frict_vel	mean_peak_frict_vel	misc_param	n_alkanes	neg_cont_type	nitrate	nitrite	nitro	omics_observ_id	org_carb	org_matter	org_nitro	organism_count	oxy_stat_samp	part_org_carb	part_org_nitro	perturbation	petroleum_hydrocarb	ph	phaeopigments	phosphate	phosplipid_fatt_acid	photon_flux	pos_cont_type	potassium	pressure	primary_prod	redox_potential	rel_to_oxygen	salinity	samp_collect_device	samp_mat_process	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	silicate	size_frac	size_frac_low	size_frac_up	sodium	soluble_react_phosp	source_material_id	sulfate	sulfide	suspend_part_matter	temp	tidal_stage	tot_depth_water_col	tot_diss_nitro	tot_inorg_nitro	tot_nitro	tot_part_carb	tot_phosp	turbidity	water_current	description	host	ref_biomaterial
E252_2B_NO20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.31666667 -157.2333333																		56 g L-1	CTD Niskin											332.46 umolkg	0.068667				CTD collected water																																29.216 ppt	Niskin		1L															1.8828 C												
E67_1B_DY20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.40666667 -157.4751667																		0.2058 g L-1	CTD Niskin											343.624731 umolkg	2.7189				CTD collected water																																29.6011 ppt	Niskin		1L															3.7289 C												
E248_2B_NO20			Environmental Sample	2020-09	4	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.5 -157.65																		42.9 g L-1	CTD Niskin											320.58 umolkg	1.00E-12				CTD collected water																																30.19 ppt	Niskin		1L															2.7007 C												
E69_1B_DY20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.58055 -157.8003833																		0.3244 g L-1	CTD Niskin											342.217299 umolkg	10.44				CTD collected water																																29.5208 ppt	Niskin		1L															3.6212 C												
E246_1B_NO20			Environmental Sample	2020-09	5	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.5787 -157.8375167																		38.7 g L-1	CTD Niskin											328.89 umolkg	0.008775				CTD collected water																																29.621 ppt	Niskin		1L															2.1059 C												
E244_2B_NO20			Environmental Sample	2020-10	6	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.62076667 -157.9277833																		35.5 g L-1	CTD Niskin											328.92 umolkg	0.000219				CTD collected water																																29.578 ppt	Niskin		1L															2.0155 C												
E26_1B_DY20			Environmental Sample	2020-10	65	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringSea	59.90486667 -171.6984167																		1.2532 g L-1	CTD Niskin											347.150598 umolkg	0.28212				CTD collected water																																31.8529 ppt	Niskin		1L															-0.0813 C												
E30_1B_DY20			Environmental Sample	2020-09	70	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringSea	62.01066667 -175.0696667																		0.1594 g L-1	CTD Niskin											319.022778 umolkg	0.2014				CTD collected water																																32.3837 ppt	Niskin		1L															-0.888 C												
E32_1B_DY20			Environmental Sample	2020-09	66	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringSea	62.21783333 -174.8781667																		0.1531 g L-1	CTD Niskin											320.278224 umolkg	0.20113				CTD collected water																																32.3784 ppt	Niskin		1L															-0.9639 C												
E34_1B_DY20			Environmental Sample	2020-09	68	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringSea	62.20373333 -174.69915																		0.2459 g L-1	CTD Niskin											314.268531 umolkg	0.2012				CTD collected water																																32.3414 ppt	Niskin		1L															-0.9404 C												
E28_1B_DY20			Environmental Sample	2020-09	58	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringSea	62.4666 -174.0845																		0.2277 g L-1	CTD Niskin											317.698626 umolkg	0.23891				CTD collected water																																32.3383 ppt	Niskin		1L															-0.9825 C												
E36_2B_DY20			Environmental Sample	2020-09	65	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringSea	62.78968333 -173.4975																		0.1798 g L-1	CTD Niskin											258.883167 umolkg	0.24612				CTD collected water																																32.4354 ppt	Niskin		1L															-1.3855 C												
E38_1B_DY20			Environmental Sample	2020-09	65	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringSea	63.27506667 -173.2879833																		0.1359 g L-1	CTD Niskin											281.759142 umolkg	0.20265				CTD collected water																																32.8397 ppt	Niskin		1L															0.9977 C												
E72_1B_DY20			Environmental Sample	2020-09	32	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	63.99933333 -167.9436667																		3.515 g L-1	CTD Niskin											306.984654 umolkg	0.20182				CTD collected water																																32.2326 ppt	Niskin		1L															3.0913 C												
E293_1B_NO20			Environmental Sample	2020-09	43	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	64.67183333 -170.6393333																		37.5 g L-1	CTD Niskin											277.23 umolkg	0.000629				CTD collected water																																32.495 ppt	Niskin		1L															1.3499 C												
E39_1B_DY20			Environmental Sample	2020-10	42	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	64.67441667 -169.9211667																		1.3886 g L-1	CTD Niskin											305.536623 umolkg	0.20254				CTD collected water																																32.8376 ppt	Niskin		1L															2.143 C												
E289_2B_NO20			Environmental Sample	2020-09	40	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	64.68 -169.099																		80.9 g L-1	CTD Niskin											287.01 umolkg	8.84E-05				CTD collected water																																32.368 ppt	Niskin		1L															5.2873 C												
E43_1B_DY20			Environmental Sample	2020-10	34	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	64.6685 -168.2356667																		0.5496 g L-1	CTD Niskin											283.423701 umolkg	0.57974				CTD collected water																																32.6657 ppt	Niskin		1L															3.2093 C												
E287_1B_NO20			Environmental Sample	2020-09	30	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	64.67 -164.2346667																		67.5 g L-1	CTD Niskin											275.22 umolkg	1.00E-12				CTD collected water																																30.811 ppt	Niskin		1L															5.8332 C												
E47_1B_DY20			Environmental Sample	2020-10	45	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	64.95945 -169.87915																		0.4269 g L-1	CTD Niskin											276.52083 umolkg	0.20377				CTD collected water																																32.9715 ppt	Niskin		1L															2.0544 C												
E295_1B_NO20			Environmental Sample	2020-09	43	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	64.9585 -169.8896667																		63 g L-1	CTD Niskin											293.94 umolkg	0.001498				CTD collected water																																32.215 ppt	Niskin		1L															2.0664 C												
E45_1B_DY20			Environmental Sample	2020-10	43	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	64.98833333 -169.1388333																		0.365 g L-1	CTD Niskin											253.159749 umolkg	0.20428				CTD collected water																																33.0256 ppt	Niskin		1L															2.7055 C												
E297_1B_NO20			Environmental Sample	2020-09	43	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	64.98983333 -169.1415																		68.9 g L-1	CTD Niskin											291.04 umolkg	0.000154				CTD collected water																																32.288 ppt	Niskin		1L															4.7417 C												
E299_1B_NO20			Environmental Sample	2020-10	42	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	65.00066667 -168.2215																		73.2 g L-1	CTD Niskin											273.47 umolkg	1.00E-12				CTD collected water																																30.604 ppt	Niskin		1L															5.9126 C												
E271_1B_NO20			Environmental Sample	2020-10	47	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	65.67983333 -168.5685																		78 g L-1	CTD Niskin											283.85 umolkg	1.00E-12				CTD collected water																																31.092 ppt	Niskin		1L															4.6863 C												
E267_1B_NO20			Environmental Sample	2020-10	28	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	66.7075 -168.4																		179.3 g L-1	CTD Niskin											289.07 umolkg	0.007907				CTD collected water																																32.421 ppt	Niskin		1L															3.3703 C												
E49_2B_DY20			Environmental Sample	2020-10	45	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	67.6729 -168.9421																		0.2481 g L-1	CTD Niskin											254.817021 umolkg	0.20419				CTD collected water																																32.9901 ppt	Niskin		1L															2.5484 C												
E263_2B_NO20			Environmental Sample	2020-09	47	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	67.67071667 -168.9284667																		18.7 g L-1	CTD Niskin											211.46 umolkg	1.00E-12				CTD collected water																																32.972 ppt	Niskin		1L															2.9525 C												
E51_1B_DY20			Environmental Sample	2020-10	54	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	67.89766667 -168.2315																		0.2342 g L-1	CTD Niskin											277.969902 umolkg	0.20197				CTD collected water																																33.073 ppt	Niskin		1L															2.8462 C												
E261_1B_NO20			Environmental Sample	2020-09	52	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	67.89861667 -168.2339667																		21.2 g L-1	CTD Niskin											178.43 umolkg	9.70E-05				CTD collected water																																32.986 ppt	Niskin		1L															3.0507 C												
E259_1B_NO20			Environmental Sample	2020-10	47	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	68.12861667 -167.4959833																		15.6 g L-1	CTD Niskin											198.89 umolkg	0.030983				CTD collected water																																32.857 ppt	Niskin		1L															2.948 C												
E53_2B_DY20			Environmental Sample	2020-10	43	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	68.187 -167.2898333																		0.1772 g L-1	CTD Niskin											273.096981 umolkg	0.2014				CTD collected water																																32.3156 ppt	Niskin		1L															4.9501 C												
E257_1B_NO20			Environmental Sample	2020-09	40	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	68.24158333 -167.1214833																		25 g L-1	CTD Niskin											241.45 umolkg	1.00E-12				CTD collected water																																32.363 ppt	Niskin		1L															4.2674 C												
E55_1B_DY20			Environmental Sample	2020-10	29	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	68.303 -166.9248333																		0.3276 g L-1	CTD Niskin											274.005774 umolkg	0.20168				CTD collected water																																31.9507 ppt	Niskin		1L															6.5131 C												
E64_1B_DY20			Environmental Sample	2020-09	48	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.19283333 -160.2753333																		0.6655 g L-1	CTD Niskin											263.741514 umolkg	0.22971				CTD collected water																																33.1952 ppt	Niskin		1L															-1.5974 C												
E62_1B_DY20			Environmental Sample	2020-09	38	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.4549 -161.0373																		1.1389 g L-1	CTD Niskin											267.062304 umolkg	0.27015				CTD collected water																																33.1983 ppt	Niskin		1L															-1.5978 C												
E60_1B_DY20			Environmental Sample	2020-09	35	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.7241 -161.7726																		2.2656 g L-1	CTD Niskin											335.266542 umolkg	0.23929				CTD collected water																																32.9965 ppt	Niskin		1L															-1.4846 C												
E235_1B_NO20			Environmental Sample	2020-09	40	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.83333333 -162.1333333																		49.6 g L-1	CTD Niskin											356.38 umolkg	0.07547				CTD collected water																																32.601 ppt	Niskin		1L															-0.9074 C												
E58_2B_DY20			Environmental Sample	2020-10	37	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.70516667 -165.5841667																		0.9835 g L-1	CTD Niskin											310.625031 umolkg	0.2017				CTD collected water																																32.8332 ppt	Niskin		1L															-1.3729 C												
